SPECID,COMMENT_FLAG,COMMENT
G15_Y3_007_389,512,"bad splice"                          
G15_Y3_007_397,512,"bad splice"                          
G15_Y3_008_010,512,"bad splice"                          
G15_Y3_008_013,512,"bad splice"                          
G15_Y3_008_018,512,"bad splice"                          
G15_Y3_008_031,512,"bad splice"                          
G15_Y3_008_038,512,"bad splice"                          
G15_Y3_008_053,512,"bad splice"                          
G15_Y3_008_294,512,"poor splice"                         
G15_Y3_009_002,512,"bad splice"                          
G15_Y3_009_010,512,"bad splice"                          
G15_Y3_009_010,512,"poor splicing"                       
G15_Y3_009_011,512,"very bad splice"                     
G15_Y3_009_012,512,"very bad splice"                     
G15_Y3_009_013,512,"bad splice"                          
G15_Y3_009_014,512,"bad splice?"                         
G15_Y3_009_014,512,"bad splicing"                        
G15_Y3_009_016,512,"bad splice"                          
G15_Y3_009_019,512,"very bad splice"                     
G15_Y3_009_038,512,"very bad splice"                     
G15_Y3_009_040,512,"bad splice"                          
G15_Y3_009_062,512,"bad splice"                          
G15_Y3_009_065,512,"bad splice"                          
G15_Y3_009_077,512,"bad splice"                          
G15_Y3_009_087,512,"bad splice"                          
G15_Y3_009_241,512,"very bad splicing"                   
G15_Y3_009_313,512,"very bad splicing"                   
G15_Y3_009_317,512,"bas splicing"                        
G15_Y3_009_355,512,"bad splice"                          
G15_Y3_010_148,512,"bad splice"                          
G15_Y3_010_169,512,"bad splice"                          
G15_Y3_010_170,512,"bad splice"                          
G15_Y3_010_352,512,"bad splice"                          
G15_Y3_011_294,512,"poor splice"                         
G15_Y3_012_099,512,"bad splice"                          
G15_Y3_012_315,512,"bad splice"                          
G15_Y3_014_065,512,"bad splic"                           
G15_Y3_014_294,512,"poor splice"                         
G15_Y3_015_003,512,"poor splice"                         
G15_Y3_015_124,512,"posh spice"                          
G15_Y3_018_006,512,"poor splice"                         
G15_Y3_022_032,512,"poor splice"                         
G15_Y3_022_083,512,"splice error"                        
G15_Y3_022_087,512,"bad splice"                          
G15_Y3_022_209,512,"bad splice"                          
G15_Y3_023_004,512,"bad splice"                          
G15_Y3_023_017,512,"bad splice"                          
G15_Y3_023_035,512,"bad splice"                          
G15_Y3_023_051,512,"bad splice"                          
G15_Y3_023_061,512,"poor splice"                         
G15_Y3_023_064,512,"poor splice"                         
G15_Y3_023_109,512,"bad splice"                          
G15_Y3_023_156,512,"bad splice"                          
G15_Y3_023_197,512,"bad splice"                          
G15_Y3_023_383,512,"bad splice"                          
G15_Y3_024_003,512,"bad splice"                          
G15_Y3_024_004,512,"bad splice"                          
G15_Y3_024_122,512,"bad splice"                          
G15_Y3_024_205,512,"poor splice"                         
G15_Y3_024_233,512,"bad splice"                          
G15_Y3_024_245,512,"bad splice"                          
G15_Y3_024_304,512,"splicing issue"                      
G15_Y3_024_315,512,"poor splice"                         
G15_Y3_024_390,512,"bad splice"                          
G15_Y3_025_008,512,"bad splice"                          
G15_Y3_025_060,512,"bad splice"                          
G15_Y3_025_172,512,"bad splice"                          
G15_Y3_025_191,512,"bad splice"                          
G15_Y3_025_243,512,"bad splice"                          
G15_Y3_025_254,512,"sporty spice"                        
G15_Y3_025_287,512,"bad splice"                          
G15_Y3_026_013,512,"bad splice"                          
G15_Y3_026_155,512,"bad splice"                          
G15_Y3_026_157,512,"bad splice"                          
G15_Y3_026_215,512,"bad splice"                          
G15_Y3_026_249,512,"bad splice"                          
G15_Y3_026_315,512,"bad splice"                          
G15_Y3_026_394,512,"bad splice"                          
G15_Y3_027_015,512,"bad splice"                          
G15_Y3_027_027,512,"bad splicing"                        
G15_Y3_027_035,512,"bad splice"                          
G15_Y3_027_062,512,"bad splice"                          
G15_Y3_027_070,512,"bad splice"                          
G15_Y3_027_281,512,"bad splice"                          
G15_Y3_027_294,512,"bad splice"                          
G15_Y3_027_299,512,"bad splice"                          
G15_Y3_028_007,512,"bad splice"                          
G15_Y3_028_117,512,"bad splice"                          
G15_Y3_028_156,512,"poor splice"                         
G15_Y3_028_179,512,"bad splicing"                        
G15_Y3_028_229,512,"poor splice"                         
G15_Y3_028_234,512,"bad splice"                          
G15_Y3_028_239,512,"poor splice"                         
G15_Y3_028_359,512,"bad splice"                          
G15_Y3_028_384,512,"bad splice"                          
G15_Y3_029_010,512,"bad splice"                          
G15_Y3_029_056,512,"bad splice"                          
