SPECID,fringe,reduction,sky,comment
G15_Y1_DS2_046,,1,,bad splice
G12_Y1_HND1_115,1,,,
G15_Y1_IN1_064,1,,,
G15_Y1_BN2_079,1,,,
G12_Y1_CN1_161,1,,,
G12_Y1_IS2_071,1,,,
G09_Y4_215_055,1,,,
G15_Y3_021_279,1,,,
G09_Y1_FN2_279,1,,,
G12_Y1_ND1_129,1,,,
G12_Y1_CS2_002,1,,,
G12_Y2_038_275,1,,,
G15_Y2_003_021,1,,,
G09_Y1_FS2_129,1,,,
G15_Y1_FN1_345,1,,,
G09_Y1_IN2_348,1,,,
G15_Y1_DS1_079,1,,,
G15_Y1_GS1_115,1,,,
G09_Y1_CS2_115,1,,,
G02_Y4_041_040,1,,,
G15_Y1_HN1_055,1,,,
G09_Y1_IS2_079,1,,,
G09_Y1_DN1_054,1,,,
G12_Y1_CN1_107,1,,,
G09_Y1_CN1_130,1,,,
G15_Y1_FS2_020,,1,,bad splice
G02_Y4_032_129,1,,,
G15_Y2_014_060,,1,,bad splice
G12_Y1_GS2_130,1,,,
G15_Y2_014_013,,1,,bad splice
G15_Y1_DS1_276,1,,,
G12_Y1_AN1_055,1,,,
G12_Y1_HS2_008,1,,,
G15_Y4_236_376,,1,,
G15_Y1_AN2_071,1,,,
G15_Y1_EN1_107,1,,,
G09_Y1_BS1_107,1,,,
G12_Y1_CN1_129,1,,,
G12_Y1_AS2_117,1,,,
G09_Y2_010_129,1,,,
G12_Y1_IN1_111,1,,,
G15_Y1_IN1_178,,,1,
G15_Y6_097_017,,1,,bad splice
G09_Y1_FN1_064,1,,,
G15_Y4_236_366,,1,,
G12_Y1_ND7_036,1,,,
G15_Y2_014_027,,1,,bad splice
G12_Y1_GND1_054,1,,,
G09_Y2_033_356,1,,,
G09_Y5_002_086,1,,,
G09_Y1_FN1_129,1,,,
G12_Y1_IS1_064,1,,,
G12_Y2_023_120,1,,,
G15_Y1_IN1_381,1,,,
G09_Y1_BN2_031,1,,,
G15_Y2_011_059,,1,,bad splice
G12_Y1_CX1_390,,,1,
G12_Y1_ES1_117,1,,,
G15_Y2_011_045,,1,,bad splice
G09_Y1_HN2_161,1,,,
G15_Y3_001_241,1,,,
G09_Y1_CN1_354,1,,,
G02_Y3_015_348,1,,,
G15_Y1_CS1_055,1,,,
G15_Y6_097_011,,1,,bad splice
G09_Y3_005_040,1,,,
G15_Y4_236_395,,1,,
G15_Y6_088_374,,1,,bad splice
G09_Y3_004_365,1,,,
G12_Y1_AS2_115,1,,,
G09_Y1_CN2_064,1,,,
G15_Y2_010_059,,1,,bad splice
G09_Y1_FN1_079,,,1,
G09_Y1_IS2_071,1,,,
G09_Y5_053_015,,1,,bad splice
G15_Y4_216_370,1,,,
G15_Y1_CX1_039,,1,,bad splice
G15_Y2_011_042,,1,,bad splice
G15_Y4_219_356,1,,,
G09_Y1_BN2_054,1,,,
G12_Y3_039_313,,,1,
G12_Y1_CD1_354,1,,,
G15_Y1_DS2_021,,1,,bad splice
G15_Y1_DN2_051,,1,,bad splice
G02_Y4_042_017,,1,,bad splice
G15_Y1_CN1_115,1,,,
G15_Y2_014_068,,1,,bad splice
G09_Y4_201_370,1,,,
G15_Y2_014_046,,1,,bad splice
G09_Y1_AN2_031,1,,,
G12_Y1_GS1_107,1,,,
G15_Y2_001_115,1,,,
G15_Y2_014_009,,1,,bad splice
G12_Y1_HS1_138,1,,,
G12_Y1_ND1_308,1,,,
G12_Y1_CND1_064,1,,,
G12_Y1_BN1_023,1,,,
G09_Y1_HS2_139,1,,,
G15_Y4_224_313,,,1,
G15_Y1_DS2_070,,1,,bad splice
G15_Y2_022_276,1,,,
G15_Y1_EN2_117,1,,,
G15_Y2_013_088,,1,,bad splice
G09_Y1_DN1_036,1,,,
G15_Y1_CS1_060,1,,,
G15_Y1_GS1_341,1,,,
G12_Y2_008_041,1,,,
G15_Y2_014_033,,1,,bad splice
G02_Y6_005_021,,1,,bad splice
G15_Y1_DS2_010,,1,,bad splice
G15_Y2_014_023,,1,,bad splice
G15_Y1_AN2_008,1,,,
G15_Y6_097_012,,1,,bad splice
G09_Y1_GN2_008,1,,,
G15_Y6_087_018,,1,,bad splice
G02_Y4_043_274,1,,,
G15_Y1_IN1_054,1,,,
G12_Y1_FS2_064,1,,,
G12_Y1_BN1_130,1,,,
G15_Y2_014_106,,1,,bad splice
G12_Y1_DS1_056,1,,,
G12_Y1_ES1_276,1,,,
G12_Y1_IN1_119,1,,,
G02_Y3_020_277,1,,,
G09_Y1_AN2_036,1,,,
G09_Y4_251_360,1,,,
G15_Y2_010_028,,1,,bad splice
G15_Y2_001_021,1,,,
G15_Y2_010_006,,1,,bad splice
G12_Y1_DN1_079,1,,,
G09_Y1_HN1_229,,,1,
G15_Y6_097_041,,1,,bad splice
G15_Y1_DS2_005,,1,,bad splice
G12_Y1_ND6_308,1,,,
G12_Y1_CS1_107,1,,,
G12_Y1_HN1_003,1,,,
G09_Y4_213_107,1,,,
G02_Y4_025_271,1,,,
G12_Y1_DN1_008,1,,,
G15_Y1_BS2_165,1,,,
G12_Y3_031_369,,1,,bad splice
G12_Y4_212_064,1,,,
G09_Y4_207_356,1,,,
G15_Y1_GX2_090,,,1,
G15_Y6_097_029,,1,,bad splice
G12_Y4_205_211,1,,,
G12_Y1_IS2_111,1,,,
G12_Y1_CS2_354,1,,,
G09_Y1_DN2_130,1,,,
G15_Y1_HS1_276,1,,,
G15_Y3_034_116,1,,,
G12_Y1_DS1_061,1,,,
G15_Y2_010_071,,1,,bad splice
G15_Y2_020_276,1,,,
G02_Y4_042_236,,1,,bad splice
G15_Y2_014_032,,1,,bad splice
G15_Y1_DS2_069,,1,,bad splice
G12_Y4_204_241,1,,,
G12_Y1_DS1_060,1,,,
G15_Y6_082_064,,1,,
G15_Y3_009_036,,1,,bad splice
G15_Y1_DS2_061,,1,,bad splice
G15_Y3_001_276,1,,,
G15_Y3_005_061,1,,,
G09_Y1_AN2_110,1,,,
G12_Y1_GN1_002,1,,,
G15_Y1_CS1_107,1,,,
G12_Y1_ND3_129,1,,,
G02_Y5_109_294,,1,,
G15_Y2_003_110,1,,,
G09_Y4_228_376,1,,,
G12_Y6_060_009,,1,,bad splice
G15_Y1_AS2_138,1,,,
G15_Y2_003_071,1,,,
G09_Y1_GS1_054,1,,,
G15_Y2_010_037,,1,,bad splice
G15_Y2_014_104,,1,,bad splice
G15_Y2_011_015,,1,,bad splice
G15_Y2_011_026,,1,,bad splice
G15_Y4_237_368,,1,,
G02_Y6_004_002,,1,,bad splice
G12_Y1_FS2_132,1,,,
G09_Y2_016_271,1,,,
G15_Y6_097_078,,1,,bad splice
G02_Y5_073_066,,1,,bad splice
G15_Y6_099_073,,1,,bad splice
G15_Y1_CN1_079,1,,,
G09_Y1_BS2_332,,,1,
G09_Y1_HN1_023,1,,,
G12_Y1_CS2_356,1,,,
G12_Y1_HND1_354,1,,,
G09_Y1_HN1_111,1,,,
G15_Y2_010_120,,1,,bad splice
G15_Y2_009_279,1,,,
G15_Y3_009_061,1,,,
G12_Y4_205_071,1,,,
G15_Y6_087_069,1,,,
G15_Y2_014_011,,1,,bad splice
G15_Y2_010_077,,1,,bad splice
G15_Y4_237_365,,1,,
G09_Y1_FN2_271,1,,,
G09_Y5_050_029,,1,,
G15_Y1_GN1_115,1,,,
G09_Y1_HN2_061,1,,,
G12_Y1_AS2_345,1,,,
G15_Y3_017_115,1,,,
G12_Y1_EN1_168,1,,,
G12_Y6_073_026,,1,,bad splice
G15_Y2_013_024,,1,,bad splice
G12_Y1_IS2_008,1,,,
G09_Y2_035_110,1,,,
G09_Y1_IS1_003,1,,,
G12_Y1_GS2_354,1,,,
G09_Y1_DS2_138,1,,,
G12_Y1_IND1_064,1,,,
G12_Y1_DS1_107,1,,,
