SPECID,SCORE
G15_Y1_CS2_032,0.006670806
G15_Y1_GS1_278,0.006650379
G12_Y4_204_365,0.006642696
G15_Y4_202_196,0.006626074
G09_Y1_BN1_243,0.0066183223
G12_Y1_AN1_388,0.0066121793
G15_Y1_DN2_004,0.006598547
G09_Y1_AX2_138,0.006584231
G12_Y1_AS1_145,0.0065832203
G02_Y5_111_257,0.0065537766
G09_Y1_IS2_091,0.006542962
G15_Y3_037_389,0.006533011
G15_Y4_213_375,0.0065293293
G09_Y4_202_338,0.0065280152
G02_Y6_016_116,0.0065228
G12_Y5_025_031,0.006507286
G15_Y2_021_379,0.006496087
G15_Y3_038_196,0.0064943037
G15_Y4_203_188,0.006493544
G15_Y3_047_043,0.0064903446
G15_Y1_EN1_125,0.006486696
G15_Y6_086_192,0.0064817714
G12_Y4_202_394,0.0064747706
G15_Y3_001_022,0.0064707887
G15_Y5_003_263,0.0064638387
G15_Y3_021_188,0.0064568464
G12_Y4_206_359,0.0064551504
G15_Y1_DS2_006,0.006453377
G15_Y6_096_292,0.0064444235
G15_Y1_HN2_235,0.006444106
G12_Y6_042_015,0.006422748
G12_Y1_AS1_225,0.00642122
G15_Y1_DS1_039,0.006420305
G09_Y1_BS2_085,0.0064135413
G15_Y6_101_365,0.0064109205
G02_Y4_039_225,0.00640501
G09_Y1_FN2_255,0.0064005777
G09_Y4_206_339,0.006395422
G09_Y1_DN2_004,0.006394742
G15_Y6_099_254,0.0063835494
G15_Y1_CS2_369,0.0063782255
G15_Y1_BX1_213,0.0063772155
G15_Y3_017_243,0.0063628554
G15_Y6_081_045,0.0063563846
G15_Y4_206_367,0.0063340575
G15_Y2_008_065,0.0063237716
G09_Y4_223_208,0.006323724
G15_Y1_CN2_011,0.006323663
G15_Y2_011_203,0.0063165165
G15_Y3_041_336,0.0063092364
G02_Y5_077_022,0.006306327
G15_Y4_204_379,0.0062997052
G09_Y1_FX2_242,0.006286343
G02_Y3_018_244,0.00628428
G09_Y4_227_225,0.006282874
G12_Y1_DS1_062,0.006280331
G09_Y4_215_057,0.0062568365
G15_Y1_DS2_139,0.006252894
G02_Y3_004_030,0.0062462315
G12_Y2_025_102,0.0062446008
G02_Y4_002_055,0.0062282393
G12_Y5_004_079,0.006227101
G12_Y6_060_024,0.0062220683
G12_Y1_FND1_297,0.006210926
G09_Y4_212_396,0.006210803
G02_Y6_005_219,0.0061942143
G09_Y6_064_385,0.0061903577
G15_Y4_211_311,0.006183356
G09_Y4_212_307,0.006179018
G02_Y3_019_130,0.006177336
G15_Y4_230_365,0.006170554
G09_Y1_FS1_142,0.0061695776
G09_Y1_IN1_313,0.0061610835
G02_Y4_043_165,0.0061601335
G09_Y4_230_322,0.006139377
G15_Y5_029_255,0.006118143
G12_Y1_GS2_370,0.0061164354
G12_Y1_AT_189,0.006114578
G15_Y4_232_380,0.006112203
G12_Y1_EX1_256,0.0061099334
G15_Y4_234_383,0.00609832
G15_Y6_100_053,0.0060895346
G02_Y4_042_009,0.006087956
G12_Y4_202_071,0.006084131
G15_Y1_DN1_166,0.0060802856
G09_Y2_015_059,0.006077011
G09_Y2_015_069,0.006069861
G12_Y6_086_232,0.006066745
G15_Y5_030_282,0.006066625
G15_Y3_036_133,0.006054634
G02_Y6_013_015,0.0060532736
G12_Y3_011_109,0.006046411
G09_Y1_GN2_304,0.006043429
G15_Y3_032_136,0.006037671
G15_Y4_232_320,0.0060375365
G09_Y4_228_374,0.0060255826
G15_Y4_230_006,0.0060218163
G15_Y6_097_025,0.0060179615
G12_Y5_026_046,0.0059875883
G09_Y2_029_162,0.005979768
G02_Y5_109_034,0.0059683598
G09_Y6_074_113,0.005968314
G15_Y1_CX1_010,0.0059653902
G09_Y2_014_265,0.00596081
G12_Y4_211_104,0.005959415
G12_Y1_IS2_193,0.005952535
G09_Y1_DX1_257,0.005941308
G15_Y2_006_339,0.005940902
G15_Y2_023_220,0.0059395498
G15_Y6_073_137,0.0059356107
G02_Y5_109_189,0.005935289
G15_Y2_014_047,0.005930823
G09_Y1_AN2_276,0.00591991
G15_Y1_GS1_369,0.0059191636
G12_Y4_204_203,0.005916616
G15_Y6_093_013,0.005912191
G12_Y4_205_395,0.0058998666
G12_Y5_005_193,0.005899679
G15_Y4_204_134,0.005898588
G09_Y1_HN2_363,0.0058975676
G15_Y4_203_197,0.005894756
G09_Y1_IN1_127,0.0058891913
G15_Y3_041_365,0.005887974
G12_Y1_BX1_241,0.005884183
G02_Y6_005_211,0.0058830264
G15_Y1_DS2_102,0.005878034
G02_Y6_005_214,0.0058779335
G15_Y2_002_372,0.0058731968
G02_Y5_079_267,0.005871137
G09_Y1_IS2_233,0.005856963
G15_Y3_038_236,0.00585026
G09_Y1_DS1_248,0.005848432
G12_Y1_FX1_013,0.0058473935
G02_Y4_042_264,0.005843658
G15_Y1_CN2_371,0.0058429292
G09_Y3_002_280,0.005842422
G09_Y4_248_014,0.0058371816
G15_Y2_008_042,0.005836571
G15_Y2_011_311,0.0058270167
G15_Y6_098_351,0.0058251442
G15_Y3_008_054,0.0058079897
G15_Y1_AN1_298,0.005798232
G15_Y1_CX1_033,0.0057964856
G09_Y1_FN2_337,0.0057849856
G09_Y4_225_375,0.005781547
G12_Y1_ND6_222,0.005773818
G15_Y6_093_036,0.0057643335
G12_Y1_DS2_320,0.00575848
G09_Y3_016_054,0.0057576876
G12_Y1_GN1_254,0.0057567586
G15_Y1_CN1_342,0.0057409294
G15_Y1_ES2_012,0.0057240627
G15_Y1_CN2_307,0.005723659
G02_Y4_042_206,0.005718
G15_Y2_003_389,0.0057096747
G15_Y6_087_379,0.0057091783
G15_Y1_CN1_004,0.0057074325
G02_Y4_033_334,0.0057055354
G15_Y1_IS2_057,0.0057022898
G09_Y1_GN2_353,0.005698909
G15_Y4_205_223,0.00569366
G15_Y1_DS2_340,0.0056918436
G15_Y3_007_301,0.0056894124
G15_Y6_086_008,0.0056795753
G15_Y1_DS2_167,0.005678449
